Article Title,Authors,Journal Name,Year,Volume,Issue
CHEMICAL STANDARDIZATION OF UDE SALEEB (PAEONIA EMODI LINN.),,,,,
EFFECT OF PLANT ISOLATES ON COAGULATION OF BLOOD AN IN VITRO STUDY,"1. R. Hamsaveni Gopal, 2. K.K. Purushothaman.",Bulletin of Medico-Ethno-Botanical Research,1984,5,3-4
ISOLATION AND IDENTIFICATION OF URSOLIC ACID FROM LEEA INDIA MERRILL (N.O. VITACEAE),,,,,
ISOLATION OF AN ANTI-MICROBIAL SUBSTANCE FROM THE STEM-GALL CALLUS OF EMBLICA OFFICINALIS GAERTN,,,,,
"MEDICINAL PLANTLORE OF UDAIPUR DISTRICT, RAJASTHAN",,,,,
PHARMACOGNOSTICAL STUDIES ON EUPHORBIA THYMIFOLIA LINN.,,,,,
PHARMACOGNOSTICAL STUDIES ON LEAF OF AGANOSMA DICHOTOMA (ROTH) K. SCHUM,,,,,
PHYSICO-CHEMICAL STUDY OF SEEDS OF CASSIA FISTULA LINN. (AMALTAS),,,,,
PHYTOCHEMICAL STUDY OF WHITE AGARU,,,,,
"PLANTS USED IN ETHNO-MEDICINE BY THE KOLS ALLAHABAD DISTRICT, UTTAR PRADESH",,,,,
